"c","s","p","ds","s.ds","fs","fs.i","seg","iso"
"Algeria",428854.960906713,396336.162952498,396235.562532882,0.95,32619.3983738308,1,"s1","DZA"
"Algeria",120446.791899813,92013.0798740157,91898.4279279206,0.95,28548.3639718928,1,"s2","DZA"
"Algeria",15770.1073789667,7537.02423403785,7534.53015655844,0.668882079601477,8235.57722240821,1,"s3","DZA"
"Algeria",18039.1192566437,7947.74549593478,7946.83490410229,0.616746788324808,10092.2843525414,1,"s4","DZA"
"Argentina",1731550.57323785,337412.065132317,337412.065132302,0.272805714419256,1394138.50810555,1,"s1","ARG"
"Argentina",832708.574033581,793691.145913544,793691.145913544,0.953143957758187,39017.428120037,1,"s2","ARG"
"Argentina",92046.9780410749,479743.575959803,89608.1800271743,0.973504855175014,2438.79801390058,1,"s3","ARG"
"Argentina",41859.5002888482,48186.1688812982,34876.5355491315,0.973504855175014,6982.96473971671,1,"s4","ARG"
"Australia",623496.952933869,3946.70786521149,1399.10453513943,0.00314154919278805,622097.848398729,1,"s1","AUS"
"Australia",2505730.27087894,11407.4968133685,10703.8080988082,0.00598042475380843,2495026.46278013,1,"s2","AUS"
"Australia",1140318.03750482,160910.998655493,71331.8233244275,0.08757605279376,1068986.21418039,1,"s3","AUS"
"Australia",265454.455079697,62289.4142130634,44459.4274082209,0.234477881913197,220995.027671476,1,"s4","AUS"
"Austria",481956.213800442,0,0,0,481956.213800442,1,"s1","AUT"
"Austria",637617.210420097,248351.681622265,148352.061152288,0.257796334262198,489265.14926781,1,"s2","AUT"
"Austria",282054.15575919,149086.906424126,63644.3819103723,0.251473569321115,218409.773848818,1,"s3","AUT"
"Austria",114425.224870698,189541.327603331,37037.3506134006,0.380004759359987,77387.8742572979,1,"s4","AUT"
"Belgium",770445.553511527,462737.245826784,15093.9494347474,0.0198252052212684,755351.60407678,1,"s1","BEL"
"Belgium",1073304.4408011,1010066.57093251,36165.7379450664,0.0344125847892339,1037138.70285603,1,"s2","BEL"
"Belgium",428565.537316325,617510.629086528,22055.2885212905,0.0526916030232221,406510.248795035,1,"s3","BEL"
"Belgium",218423.843574806,74974.5574273997,2267.60015505469,0.0104481006753756,216156.243419752,1,"s4","BEL"
"Bolivia",64444.7812878343,0,0,0,64444.7812878343,1,"s1","BOL"
"Bolivia",72779.9955409922,0,0,0,72779.9955409922,1,"s2","BOL"
"Bolivia",23047.5686500112,0,0,0,23047.5686500112,1,"s3","BOL"
"Bolivia",21489.2671735819,0,0,0,21489.2671735819,1,"s4","BOL"
"Brazil",6851903.62367168,8363730.44514663,6740538.94182175,0.983746898969041,111364.681849928,1,"s1","BRA"
"Brazil",1951012.07148801,1699883.78118819,1699730.30672358,0.983746898969041,251281.764764426,1,"s2","BRA"
"Brazil",338368.919490154,261673.401988664,5.76881757917081e-05,2.38684587905071e-10,338368.919432466,1,"s3","BRA"
"Brazil",117273.267914449,41119.4463992379,41118.2710390854,0.490867019214587,76154.9968753641,1,"s4","BRA"
"Canada",551276.509005254,0,0,0,551276.509005254,1,"s1","CAN"
"Canada",3330743.72506791,3186884.06589916,888098.076431878,0.32139625425043,2442645.64863603,1,"s2","CAN"
"Canada",3401861.84814457,3121493.09019073,382134.491355166,0.117881388641289,3019727.3567894,1,"s3","CAN"
"Canada",580758.903446992,2103331.07276533,379941.466241573,0.689963511729085,200817.437205419,1,"s4","CAN"
"Chile",578911.080547725,0,0,0,578911.080547725,1,"s1","CHL"
"Chile",656641.526922006,0,0,0,656641.526922006,1,"s2","CHL"
"Chile",178000.785861835,0,0,0,178000.785861835,1,"s3","CHL"
"Chile",42642.8525714741,0,0,0,42642.8525714741,1,"s4","CHL"
"China",16344659.71921,18958447.9234637,16318667.6937199,0.998409754260008,25992.025490094,1,"s1","CHN"
"China",53570945.5492757,53547620.3980876,53486312.1220809,0.998420161781223,84633.4271947891,1,"s2","CHN"
"China",26562621.3139815,25707599.4294939,25615197.2491989,0.998420161781223,947424.064782631,1,"s3","CHN"
"China",11415667.1855832,7279738.55415606,7256583.27837916,0.889936297596416,4159083.90720406,1,"s4","CHN"
"Colombia",614698.104183857,307800.370460325,231580.888883459,0.527434918426021,383117.215300398,1,"s1","COL"
"Colombia",247646.821771509,117540.323752912,73335.3395475451,0.414580226114474,174311.482223964,1,"s2","COL"
"Colombia",86127.8099407126,34542.6582722913,2874.18720482379,0.0467196610423879,83253.6227358888,1,"s3","COL"
"Colombia",40588.5915577582,0,0,0,40588.5915577582,1,"s4","COL"
"Czechia",352915.246541396,1838840.13730791,92296.9103517551,0.304667737984662,260618.336189641,1,"s1","CZE"
"Czechia",526559.436292348,2858327.33183616,137032.743556724,0.296118176266311,389526.692735623,1,"s2","CZE"
"Czechia",162800.198854022,578795.78015753,28189.1501436123,0.186726162054083,134611.048710409,1,"s3","CZE"
"Czechia",89792.4002567223,0,0,0,89792.4002567223,1,"s4","CZE"
"Denmark",447129.327527481,0,0,0,447129.327527481,1,"s1","DNK"
"Denmark",348737.096401421,0,0,0,348737.096401421,1,"s2","DNK"
"Denmark",163458.158934231,0,0,0,163458.158934231,1,"s3","DNK"
"Denmark",66902.0388866088,0,0,0,66902.0388866088,1,"s4","DNK"
"Eastern Europe Central Asia",346865.708584282,760166.089636138,127544.384463698,0.514787521020661,219321.324120584,1,"s1","REA"
"Eastern Europe Central Asia",934467.11778891,319949.174795728,174911.761378265,0.262049312670291,759555.356410645,1,"s2","REA"
"Eastern Europe Central Asia",292231.032780903,36910.4456106827,18466.3703320764,0.0884673958781437,273764.662448826,1,"s3","REA"
"Eastern Europe Central Asia",104370.800293764,326.868958089699,159.781503051676,0.00214326328477632,104211.018790713,1,"s4","REA"
"Egypt",128673.364436219,119078.541126689,119078.38051685,0.95,9594.98391936827,1,"s1","EGY"
"Egypt",511431.140282651,143578.099218498,143577.27071606,0.393030778085576,367853.869566591,1,"s2","EGY"
"Egypt",65414.4956082511,55241.0579526374,52766.8433499002,0.95,12647.652258351,1,"s3","EGY"
"Egypt",31954.6265438145,2793.15367182162,2793.15068353259,0.122373858808329,29161.4758602819,1,"s4","EGY"
"Ethiopia",0,0,0,0,0,1,"s1","ETH"
"Ethiopia",34361.9500289686,0,0,0,34361.9500289686,1,"s2","ETH"
"Ethiopia",7385.30670971626,0,0,0,7385.30670971626,1,"s3","ETH"
"Ethiopia",0,0,0,0,0,1,"s4","ETH"
"Finland",128192.67298285,0,0,0,128192.67298285,1,"s1","FIN"
"Finland",226342.900213221,155529.979516477,100056.734813705,0.541758715626235,126286.165399516,1,"s2","FIN"
"Finland",121844.272797177,260401.69544056,46951.6993048031,0.403621830956362,74892.5734923738,1,"s3","FIN"
"Finland",51459.4680095245,0,0,0,51459.4680095245,1,"s4","FIN"
"France",4831838.04852466,3306642.53641523,1614370.27636717,0.402432595563316,3217467.77215748,1,"s1","FRA"
"France",3715836.24759672,3059311.4615009,1312598.66560746,0.415919624277354,2403237.58198927,1,"s2","FRA"
