MONET_Region,c,Year,Powertrain,Scenario,sales
Middle East/Africa,Saudi Arabia,2035,BEV,Momentum,157995
Middle East/Africa,Saudi Arabia,2035,BEV,Ambitious,708484
Middle East/Africa,South Africa,2035,BEV,Baseline,28476
Middle East/Africa,South Africa,2035,BEV,Momentum,28476
Middle East/Africa,South Africa,2035,BEV,Ambitious,341707
Europe,Turkey,2035,BEV,Baseline,35370
Europe,Turkey,2035,BEV,Momentum,521247
Europe,Turkey,2035,BEV,Ambitious,521247
Middle East/Africa,United Arab Emirates,2035,BEV,Baseline,26331
Middle East/Africa,United Arab Emirates,2035,BEV,Momentum,41831
Middle East/Africa,United Arab Emirates,2035,BEV,Ambitious,205318
North America,Canada,2035,BEV,Baseline,343846
North America,Canada,2035,BEV,Momentum,1826299
North America,Canada,2035,BEV,Ambitious,1826299
North America,Mexico,2035,BEV,Baseline,172286
North America,Mexico,2035,BEV,Momentum,1172235
North America,Mexico,2035,BEV,Ambitious,1173771
North America,United States,2035,BEV,Baseline,6579357
North America,United States,2035,BEV,Momentum,10018567
North America,United States,2035,BEV,Ambitious,14205431
South America,Argentina,2035,BEV,Baseline,23424
South America,Argentina,2035,BEV,Momentum,23424
South America,Argentina,2035,BEV,Ambitious,281093
South America,Bolivia,2035,BEV,Baseline,57107
South America,Bolivia,2035,BEV,Momentum,102253
South America,Bolivia,2035,BEV,Ambitious,174787
South America,Brazil,2035,BEV,Baseline,156773
South America,Brazil,2035,BEV,Momentum,156773
South America,Brazil,2035,BEV,Ambitious,1881274
South America,Chile,2035,BEV,Baseline,16485
South America,Chile,2035,BEV,Momentum,329696
South America,Chile,2035,BEV,Ambitious,329696
South America,Colombia,2035,BEV,Baseline,19108
South America,Colombia,2035,BEV,Momentum,114648
South America,Colombia,2035,BEV,Ambitious,229296
South America,Peru,2035,BEV,Baseline,58896
South America,Peru,2035,BEV,Momentum,136396
South America,Peru,2035,BEV,Ambitious,289741
South America,Rest of South America,2035,BEV,Baseline,402993
South America,Rest of South America,2035,BEV,Momentum,727950
South America,Rest of South America,2035,BEV,Ambitious,1255322
South America,Uruguay,2035,BEV,Baseline,2750
South America,Uruguay,2035,BEV,Momentum,125000
South America,Uruguay,2035,BEV,Ambitious,125000
South America,Venezuela,2035,BEV,Baseline,91863
South America,Venezuela,2035,BEV,Momentum,91863
South America,Venezuela,2035,BEV,Ambitious,1102351
South Asia,Australia,2035,BEV,Baseline,90432
South Asia,Australia,2035,BEV,Momentum,722677
South Asia,Australia,2035,BEV,Ambitious,722677
South Asia,India,2035,BEV,Baseline,485182
South Asia,India,2035,BEV,Momentum,2785736
South Asia,India,2035,BEV,Ambitious,3969673
South Asia,Indonesia,2035,BEV,Baseline,97621
South Asia,Indonesia,2035,BEV,Momentum,1130347
South Asia,Indonesia,2035,BEV,Ambitious,1233105
South Asia,Malaysia,2035,BEV,Baseline,59853
South Asia,Malaysia,2035,BEV,Momentum,630034
South Asia,Malaysia,2035,BEV,Ambitious,756040
South Asia,New Zealand,2035,BEV,Baseline,44639
South Asia,New Zealand,2035,BEV,Momentum,178350
South Asia,New Zealand,2035,BEV,Ambitious,202469
South Asia,Pakistan,2035,BEV,Baseline,76865
South Asia,Pakistan,2035,BEV,Momentum,716853
South Asia,Pakistan,2035,BEV,Ambitious,753640
South Asia,Philippines,2035,BEV,Baseline,21559
South Asia,Philippines,2035,BEV,Momentum,21559
South Asia,Philippines,2035,BEV,Ambitious,258704
South Asia,Rest of South Asia/Oceania,2035,BEV,Baseline,136084
South Asia,Rest of South Asia/Oceania,2035,BEV,Momentum,346121
South Asia,Rest of South Asia/Oceania,2035,BEV,Ambitious,983765
South Asia,Singapore,2035,BEV,Baseline,27652
South Asia,Singapore,2035,BEV,Momentum,96119
South Asia,Singapore,2035,BEV,Ambitious,122848
South Asia,Thailand,2035,BEV,Baseline,79300
South Asia,Thailand,2035,BEV,Momentum,1586008
South Asia,Thailand,2035,BEV,Ambitious,1586008
South Asia,Vietnam,2035,BEV,Baseline,16881
South Asia,Vietnam,2035,BEV,Momentum,16881
South Asia,Vietnam,2035,BEV,Ambitious,202567
Europe,Eastern Europe/Central Asia,2035,BEV,Ambitious,0
Greater China,Taiwan,2035,BEV,Ambitious,0
Europe,Western Europe non EU,2035,BEV,Ambitious,0
Europe,Eastern Europe/Central Asia,2035,BEV,Baseline,0
Greater China,Taiwan,2035,BEV,Baseline,0
Europe,Western Europe non EU,2035,BEV,Baseline,0
Europe,Eastern Europe/Central Asia,2035,BEV,Momentum,0
Greater China,Taiwan,2035,BEV,Momentum,0
Europe,Western Europe non EU,2035,BEV,Momentum,0
