"iso","c","s","p","ds","s.ds","fs","fs.i","seg"
"CHE","Switzerland",323083.740414415,0,0,0,323083.740414415,1,"s3"
"TWN","Taiwan",351028.549870505,123156.213612636,100233.534206769,0.285542398883923,250795.015663737,1,"s3"
"THA","Thailand",426372.727877571,3851727.82959908,398076.734978498,0.933635546907686,28295.992899073,1,"s3"
"TUR","Turkey",370827.945179412,616281.420497668,197567.909167261,0.532775136651782,173260.036012151,1,"s3"
"ARE","United Arab Emirates",367106.075019025,0,0,0,367106.075019025,1,"s3"
"GBR","United Kingdom",1993986.00578697,993939.233474311,356942.339201124,0.179009450500255,1637043.66658585,1,"s3"
"USA","United States",32950287.1003869,26462566.0588931,21733546.8109968,0.65958596186986,11216740.2893902,1,"s3"
"URY","Uruguay",5139.47482035279,7078.16388978104,3205.43704657229,0.623689610050908,1934.0377737805,1,"s3"
"VEN","Venezuela",4260.14707950102,3055.39438727843,3055.39438727843,0.71720396743586,1204.7526922226,1,"s3"
"VNM","Vietnam",274141.207280649,78322.7337133325,71628.0018803737,0.261281412564311,202513.205400275,1,"s3"
"WEU","Western Europe non EU",13860.7464963536,0,0,0,13860.7464963536,1,"s3"
"DZA","Algeria",18039.1192566437,7947.74549593478,7946.83490410229,0.440533420232006,10092.2843525414,1,"s4"
"ARG","Argentina",41859.5002888482,48186.1688812982,34876.5355491315,0.83318088626163,6982.96473971671,1,"s4"
"AUS","Australia",265454.455079697,62289.4142130634,44459.4274082209,0.167484201366569,220995.027671476,1,"s4"
"AUT","Austria",114425.224870698,189541.327603331,37037.3506134006,0.323681693920664,77387.8742572979,1,"s4"
"BEL","Belgium",218423.843574806,74974.5574273997,2267.60015505469,0.0103816511876281,216156.243419752,1,"s4"
"BOL","Bolivia",21489.2671735819,0,0,0,21489.2671735819,1,"s4"
"BRA","Brazil",117273.267914449,41119.4463992379,41118.2710390854,0.350619299438991,76154.9968753641,1,"s4"
"CAN","Canada",580758.903446992,2103331.07276533,379941.466241573,0.654215482511757,200817.437205419,1,"s4"
"CHL","Chile",42642.8525714741,0,0,0,42642.8525714741,1,"s4"
"CHN","China",11415667.1855832,7279738.55415606,7256583.27837916,0.63566878399744,4159083.90720406,1,"s4"
"COL","Colombia",40588.5915577582,0,0,0,40588.5915577582,1,"s4"
"CZE","Czechia",89792.4002567223,0,0,0,89792.4002567223,1,"s4"
"DNK","Denmark",66902.0388866088,0,0,0,66902.0388866088,1,"s4"
NA,"Eastern Europe Central Asia",104370.800293764,326.868958089699,159.781503051676,0.0015309023462688,104211.018790713,1,"s4"
"EGY","Egypt",31954.6265438145,2793.15367182162,2793.15068353259,0.0874098991488063,29161.4758602819,1,"s4"
"ETH","Ethiopia",0,0,0,0,0,1,"s4"
"FIN","Finland",51459.4680095245,0,0,0,51459.4680095245,1,"s4"
"FRA","France",675611.019272877,521715.527339548,218037.159593019,0.322725878313353,457573.859679858,1,"s4"
"DEU","Germany",1723751.30133458,3662401.94410814,660160.246279738,0.382978824015171,1063591.05505484,1,"s4"
"GRC","Greece",6429.41599071382,0,0,0,6429.41599071382,1,"s4"
"HUN","Hungary",54046.4118948139,0,0,0,54046.4118948139,1,"s4"
"IND","India",198435.558119953,118455.844285127,118455.844285127,0.596948678993918,79979.7138348262,1,"s4"
"IDN","Indonesia",75845.3776779253,12466.4644102011,12454.1790775731,0.164204852805392,63391.1986003522,1,"s4"
"IRN","Iran",8809.72709731399,3760.25698604761,3760.25698604761,0.426830132705709,5049.47011126638,1,"s4"
"IRL","Ireland",52199.9232371797,0,0,0,52199.9232371797,1,"s4"
"ISR","Israel",48534.2041557165,0,0,0,48534.2041557165,1,"s4"
"ITA","Italy",433583.212040445,1314865.73425475,151405.914574735,0.349196902394394,282177.29746571,1,"s4"
"JPN","Japan",1078269.93030672,3566452.73660127,915424.366531998,0.848975141383758,162845.563774717,1,"s4"
"KEN","Kenya",0,0,0,0,0,1,"s4"
"MYS","Malaysia",80810.7721320677,49094.1588161226,49093.9325754842,0.607517182180252,31716.8395565835,1,"s4"
"MEX","Mexico",133103.937927247,220531.603741862,5701.56222981659,0.0428354135768167,127402.375697431,1,"s4"
"MAR","Morocco",40307.9219987757,0,0,0,40307.9219987757,1,"s4"
"NLD","Netherlands",170535.507501622,0,0,0,170535.507501622,1,"s4"
"NZL","New Zealand",34982.6618671155,0,0,0,34982.6618671155,1,"s4"
"NGA","Nigeria",0,0,0,0,0,1,"s4"
"NOR","Norway",99621.6697480627,0,0,0,99621.6697480627,1,"s4"
"PAK","Pakistan",0,0,0,0,0,1,"s4"
"PER","Peru",24727.8772548244,0,0,0,24727.8772548244,1,"s4"
"PHL","Philippines",27246.3158511282,6410.98887590892,6410.98887590892,0.235297458597268,20835.3269752192,1,"s4"
"POL","Poland",239736.42433209,195846.454168564,57023.5574957233,0.237859381003917,182712.866836366,1,"s4"
"PRT","Portugal",60584.3217463766,0,0,0,60584.3217463766,1,"s4"
"REU","Rest of EU",109544.33383437,0,0,0,109544.33383437,1,"s4"
NA,"Rest of Middle East Africa",360666.769353324,0,0,0,360666.769353324,1,"s4"
"RSA","Rest of South America",28598.4668176586,0,0,0,28598.4668176586,1,"s4"
NA,"Rest of South Asia Oceania",5683.17100689886,0,0,0,5683.17100689886,1,"s4"
"ROU","Romania",57463.3750304752,0,0,0,57463.3750304752,1,"s4"
"RUS","Russia",693888.867956404,132796.788626903,132440.627763177,0.190867203495038,561448.240193227,1,"s4"
"SAU","Saudi Arabia",318309.546011473,0,0,0,318309.546011473,1,"s4"
"SGP","Singapore",54060.7572618336,0,0,0,54060.7572618336,1,"s4"
"SVK","Slovakia",37218.0376783345,856826.542089329,32266.9609601756,0.866971043423898,4951.07671815888,1,"s4"
"ZAF","South Africa",141508.786988022,81199.3148538299,80893.5824308725,0.571650596070189,60615.20455715,1,"s4"
"KOR","South Korea",954138.601998656,842026.271566477,712077.013631472,0.74630353717989,242061.588367184,1,"s4"
"ESP","Spain",237015.46737652,0,0,0,237015.46737652,1,"s4"
"SWE","Sweden",241649.074571499,641087.545015888,203497.708583244,0.842120785871386,38151.3659882551,1,"s4"
"CHE","Switzerland",153903.19534317,0,0,0,153903.19534317,1,"s4"
"TWN","Taiwan",160148.190335101,0,0,0,160148.190335101,1,"s4"
"THA","Thailand",60885.0923864086,90465.3288520488,56355.9615537912,0.92561182622713,4529.1308326174,1,"s4"
"TUR","Turkey",230022.095359063,507692.15553926,160729.963744489,0.698758801816801,69292.1316145742,1,"s4"
"ARE","United Arab Emirates",330835.083047104,0,0,0,330835.083047104,1,"s4"
"GBR","United Kingdom",1125843.68117385,1161207.8749272,330864.618233489,0.293881489736226,794979.062940365,1,"s4"
"USA","United States",7557393.29161392,7581596.19071446,4933371.11321137,0.652787399417958,2624022.17840255,1,"s4"
"URY","Uruguay",3359.91370143406,0,0,0,3359.91370143406,1,"s4"
"VEN","Venezuela",57.2152246705657,1074.77761124622,32.6864645306033,0.571289629968347,24.5287601399624,1,"s4"
"VNM","Vietnam",67546.6871513074,44691.1905028038,44677.6885406758,0.661434193517083,22868.9986106317,1,"s4"
"WEU","Western Europe non EU",4899.26544089938,0,0,0,4899.26544089938,1,"s4"
